,"2023 Form EIA-860 Data - Schedule 3, 'Generator Data' (Operable Units Only)",,,,,,,,,,,,,,,,,
Numero,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Heat Rate (MMBtu/MWh),Variable O&M ($/MWh),Fuel Price ($/MMBtu),CO2 Emissions rate (tons/MWh),NOX Emissions rate (tons/MWh)
1,733,Appalachian Power Co,3935,John E Amos,WV,Putnam,C1,Conventional Steam Coal,816.3,0.9,800,800,300,9.891,5.06,1.95,,
2,733,Appalachian Power Co,3935,John E Amos,WV,Putnam,C2,Conventional Steam Coal,816.3,0.9,800,800,300,9.737,5.06,1.95,,
3,733,Appalachian Power Co,3935,John E Amos,WV,Putnam,C3,Conventional Steam Coal,1300,0.9,1300,1299,600,10.019,5.06,1.95,,
4,12796,Monongahela Power Co,3943,FirstEnergy Fort Martin Power Station,WV,Monongalia,C4,Conventional Steam Coal,576,0.9,552,552,220,10.223,5.06,1.95,,
5,12796,Monongahela Power Co,3943,FirstEnergy Fort Martin Power Station,WV,Monongalia,C5,Conventional Steam Coal,576,0.9,546,546,220,10.24,5.06,1.95,,
6,12796,Monongahela Power Co,3944,FirstEnergy Harrison Power Station,WV,Harrison,C6,Conventional Steam Coal,684,0.92,652,662,375,10.184,5.06,1.95,,
7,12796,Monongahela Power Co,3944,FirstEnergy Harrison Power Station,WV,Harrison,C7,Conventional Steam Coal,684,0.92,651,661,375,10.116,5.06,1.95,,
8,12796,Monongahela Power Co,3944,FirstEnergy Harrison Power Station,WV,Harrison,C8,Conventional Steam Coal,684,0.92,651,661,375,10.12,5.06,1.95,,
9,22053,Kentucky Power Co,3948,Mitchell (WV),WV,Marshall,C9,Conventional Steam Coal,816.3,0.9,770,770,370,10.248,5.06,1.95,,
10,22053,Kentucky Power Co,3948,Mitchell (WV),WV,Marshall,C10,Conventional Steam Coal,816.3,0.9,790,790,410,9.996,5.06,1.95,,
11,19876,Virginia Electric & Power Co,3954,Mt Storm,WV,Grant,C11,Conventional Steam Coal,570.2,0.9,541.9,551.7,265,10.094,5.06,1.95,,
12,19876,Virginia Electric & Power Co,3954,Mt Storm,WV,Grant,C12,Conventional Steam Coal,570.2,0.9,551.5,560.4,265,10.069,5.06,1.95,,
13,19876,Virginia Electric & Power Co,3954,Mt Storm,WV,Grant,C13,Conventional Steam Coal,522,0.9,520,527,300,10.433,5.06,1.95,,
14,65851,"Omnis Pleasants, LLC",6004,Pleasants Power Station,WV,Pleasants,C14,Conventional Steam Coal,684,0.9,639,650,300,10.745,5.06,1.95,,
15,65851,"Omnis Pleasants, LLC",6004,Pleasants Power Station,WV,Pleasants,C15,Conventional Steam Coal,684,0.9,639,650,300,10.745,5.06,1.95,,
16,733,Appalachian Power Co,6264,Mountaineer,WV,Mason,C16,Conventional Steam Coal,1300,0.9,1299,1299,500,9.925,5.06,1.95,,
17,57280,"Eagle Creek Renewable Energy, LLC",6543,Dam No. 4 Hydro Station,WV,Jefferson,H1,Conventional Hydroelectric,0.5,1,0.5,0.5,0.2,0,1.57,0,,
18,57280,"Eagle Creek Renewable Energy, LLC",6543,Dam No. 4 Hydro Station,WV,Jefferson,H2,Conventional Hydroelectric,0.5,1,0.5,0.5,0.2,0,1.57,0,,
19,57280,"Eagle Creek Renewable Energy, LLC",6543,Dam No. 4 Hydro Station,WV,Jefferson,H3,Conventional Hydroelectric,0.9,1,0.9,0.9,0.2,0,1.57,0,,
20,57280,"Eagle Creek Renewable Energy, LLC",6544,Dam No. 5 Hydro Station,WV,Berkeley,H4,Conventional Hydroelectric,0.5,1,0.5,0.5,0.2,0,1.57,0,,
21,57280,"Eagle Creek Renewable Energy, LLC",6544,Dam No. 5 Hydro Station,WV,Berkeley,H5,Conventional Hydroelectric,0.5,1,0.5,0.5,0.2,0,1.57,0,,
22,57280,"Eagle Creek Renewable Energy, LLC",6546,Millville Hydro Station,WV,Jefferson,H6,Conventional Hydroelectric,0.8,1,0.6,0.8,0.2,0,1.57,0,,
23,57280,"Eagle Creek Renewable Energy, LLC",6546,Millville Hydro Station,WV,Jefferson,H7,Conventional Hydroelectric,1,1,0.8,1,0.3,0,1.57,0,,
24,57280,"Eagle Creek Renewable Energy, LLC",6546,Millville Hydro Station,WV,Jefferson,H8,Conventional Hydroelectric,1,1,1,1.2,0.3,0,1.57,0,,
25,733,Appalachian Power Co,6560,London,WV,Kanawha,H9,Conventional Hydroelectric,4.8,0.8,4.8,4.8,1,0,1.57,0,,
26,733,Appalachian Power Co,6560,London,WV,Kanawha,H10,Conventional Hydroelectric,4.8,0.8,4.8,4.8,1,0,1.57,0,,
27,733,Appalachian Power Co,6560,London,WV,Kanawha,H11,Conventional Hydroelectric,4.8,0.8,4.8,4.8,1,0,1.57,0,,
28,733,Appalachian Power Co,6561,Marmet,WV,Kanawha,H12,Conventional Hydroelectric,4.8,0.8,4.8,4.8,1,0,1.57,0,,
29,733,Appalachian Power Co,6561,Marmet,WV,Kanawha,H13,Conventional Hydroelectric,4.8,0.8,4.8,4.8,1,0,1.57,0,,
30,733,Appalachian Power Co,6561,Marmet,WV,Kanawha,H14,Conventional Hydroelectric,4.8,0.8,4.8,4.8,1,0,1.57,0,,
31,733,Appalachian Power Co,6562,Winfield,WV,Putnam,H15,Conventional Hydroelectric,14.7,0.8,8.9,14.5,1,0,1.57,0,,
32,733,Appalachian Power Co,6562,Winfield,WV,Putnam,H16,Conventional Hydroelectric,4.9,0.8,4.9,4.9,1,0,1.57,0,,
33,733,Appalachian Power Co,6562,Winfield,WV,Putnam,H17,Conventional Hydroelectric,4.9,0.8,4.9,4.9,1,0,1.57,0,,
34,40577,"American Mun Power-Ohio, Inc",7594,Belleville Dam,WV,Wood,H18,Conventional Hydroelectric,21,0.9,21,21,3,0,1.57,0,,
35,40577,"American Mun Power-Ohio, Inc",7594,Belleville Dam,WV,Wood,H19,Conventional Hydroelectric,21,0.9,21,21,3,0,1.57,0,,
36,563,American Bituminous Power LP,10151,Grant Town Power Plant,WV,Marion,C17,Conventional Steam Coal,95.7,1,80,80,32,13.65,5.06,1.95,,
37,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H20,Conventional Hydroelectric,0.4,0.9,0.4,0.4,0.2,0,1.57,0,,
38,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H21,Conventional Hydroelectric,0.4,0.9,0.4,0.4,0.2,0,1.57,0,,
39,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H22,Conventional Hydroelectric,0.4,0.9,0.4,0.4,0.2,0,1.57,0,,
40,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H23,Conventional Hydroelectric,0.4,0.9,0.4,0.4,0.2,0,1.57,0,,
41,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H24,Conventional Hydroelectric,0.4,0.9,0.4,0.4,0.2,0,1.57,0,,
42,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H25,Conventional Hydroelectric,0.4,0.9,0.4,0.4,0.2,0,1.57,0,,
43,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H26,Conventional Hydroelectric,1.9,0.9,1.9,1.9,0.7,0,1.57,0,,
44,55698,Hawks Nest Hydro LLC,50010,Glen Ferris Hydro,WV,Fayette,H27,Conventional Hydroelectric,1.9,0.9,1.9,1.9,0.7,0,1.57,0,,
45,55698,Hawks Nest Hydro LLC,50011,Hawks Nest Hydro,WV,Fayette,H28,Conventional Hydroelectric,25.5,0.9,24.2,23.5,2,0,1.57,0,,
46,55698,Hawks Nest Hydro LLC,50011,Hawks Nest Hydro,WV,Fayette,H29,Conventional Hydroelectric,25.5,0.9,24.2,23.5,2,0,1.57,0,,
47,55698,Hawks Nest Hydro LLC,50011,Hawks Nest Hydro,WV,Fayette,H30,Conventional Hydroelectric,25.5,0.9,24.2,23.5,2,0,1.57,0,,
48,55698,Hawks Nest Hydro LLC,50011,Hawks Nest Hydro,WV,Fayette,H31,Conventional Hydroelectric,25.5,0.9,24.2,23.5,2,0,1.57,0,,
49,4434,New Martinsville Hannibal Hydro,50036,New Martinsville Hannibal Hydro,WV,Wetzel,H32,Conventional Hydroelectric,18.7,0.95,9.5,9.5,1,0,1.57,0,,
50,4434,New Martinsville Hannibal Hydro,50036,New Martinsville Hannibal Hydro,WV,Wetzel,H33,Conventional Hydroelectric,18.7,0.95,9.5,9.5,1,0,1.57,0,,
51,733,Appalachian Power Co,55276,Ceredo Generating Station,WV,Wayne,1,Natural Gas Fired Combustion Turbine,86.5,0.85,75,86,64,12.011,2.87,3,,
52,733,Appalachian Power Co,55276,Ceredo Generating Station,WV,Wayne,2,Natural Gas Fired Combustion Turbine,86.5,0.85,75,86,64,12.011,2.87,3,,
53,733,Appalachian Power Co,55276,Ceredo Generating Station,WV,Wayne,3,Natural Gas Fired Combustion Turbine,86.5,0.85,75,86,64,12.011,2.87,3,,
54,733,Appalachian Power Co,55276,Ceredo Generating Station,WV,Wayne,4,Natural Gas Fired Combustion Turbine,86.5,0.85,75,86,64,12.011,2.87,3,,
55,733,Appalachian Power Co,55276,Ceredo Generating Station,WV,Wayne,5,Natural Gas Fired Combustion Turbine,86.5,0.85,75,86,64,12.011,2.87,3,,
56,733,Appalachian Power Co,55276,Ceredo Generating Station,WV,Wayne,6,Natural Gas Fired Combustion Turbine,86.5,0.85,75,86,64,12.011,2.87,3,,
57,60432,"Middle River Power II, LLC",55284,Big Sandy Peaker Plant,WV,Wayne,7,Natural Gas Fired Combustion Turbine,58.9,0.85,50,57,25,13.65,2.87,3,,
58,60432,"Middle River Power II, LLC",55284,Big Sandy Peaker Plant,WV,Wayne,8,Natural Gas Fired Combustion Turbine,58.9,0.85,50,57,25,11.141,2.87,3,,
59,60432,"Middle River Power II, LLC",55284,Big Sandy Peaker Plant,WV,Wayne,9,Natural Gas Fired Combustion Turbine,58.9,0.85,50,57,25,11.141,2.87,3,,
60,60432,"Middle River Power II, LLC",55284,Big Sandy Peaker Plant,WV,Wayne,10,Natural Gas Fired Combustion Turbine,58.9,0.85,50,57,25,11.141,2.87,3,,
61,60432,"Middle River Power II, LLC",55284,Big Sandy Peaker Plant,WV,Wayne,11,Natural Gas Fired Combustion Turbine,58.9,0.85,50,57,25,11.141,2.87,3,,
62,60432,"Middle River Power II, LLC",55284,Big Sandy Peaker Plant,WV,Wayne,12,Natural Gas Fired Combustion Turbine,58.9,0.85,50,57,25,11.141,2.87,3,,
63,55749,Pleasants Energy LLC,55349,Pleasants Energy LLC,WV,Pleasants,13,Natural Gas Fired Combustion Turbine,172,0.85,171.6,171.6,105,10.745,2.87,3,,
64,55749,Pleasants Energy LLC,55349,Pleasants Energy LLC,WV,Pleasants,14,Natural Gas Fired Combustion Turbine,172,0.85,167.9,167.9,105,10.745,2.87,3,,
65,65240,"Sequitur Renewables, LLC",55986,Mountaineer Wind Energy Center,WV,Tucker,W1,Onshore Wind Turbine,66,0,66,66,3.3,0,0,0,,
66,64079,"Central Rivers Power WV, LLC",56333,Gauley River Power Partners,WV,Nicholas,H34,Conventional Hydroelectric,40,1,40,25,0.1,0,1.57,0,,
67,64079,"Central Rivers Power WV, LLC",56333,Gauley River Power Partners,WV,Nicholas,H35,Conventional Hydroelectric,40,1,40,25,0.1,0,1.57,0,,
68,64536,Clearway Energy Operating LLC,56495,NedPower Mount Storm,WV,Grant,W2,Onshore Wind Turbine,164,0,164,164,8.6,0,0,0,,
69,64536,Clearway Energy Operating LLC,56495,NedPower Mount Storm,WV,Grant,W3,Onshore Wind Turbine,100,0,100,100,8.6,0,0,0,,
70,55924,"Longview Power, LLC",56671,Longview Power Plant,WV,Monongalia,C19,Conventional Steam Coal,807.5,0.98,710,710,280,8.904,5.06,1.95,,
71,49893,Invenergy Services LLC,57151,Beech Ridge Energy LLC,WV,Greenbrier,W4,Onshore Wind Turbine,100.5,0,100.5,100.5,0,0,0,0,,
72,40577,"American Mun Power-Ohio, Inc",57401,Willow Island Hydroelectric Plant,WV,Pleasants,H36,Conventional Hydroelectric,22,0.9,22,22,1,0,1.57,0,,
73,40577,"American Mun Power-Ohio, Inc",57401,Willow Island Hydroelectric Plant,WV,Pleasants,H37,Conventional Hydroelectric,22,0.9,22,22,1,0,1.57,0,,
74,61012,AES Distributed Energy,57447,Laurel Mountain Hybrid,WV,Barbour,W5,Onshore Wind Turbine,97.6,0,97.6,97.6,0,0,0,0,,
75,64537,"Pinnacle Wind, LLC",57595,Pinnacle Wind Force LLC,WV,Mineral,W6,Onshore Wind Turbine,53.7,0,52.9,52.9,0.7,0,0,0,,
76,62967,"New Creek Wind, LLC",60132,New Creek Wind,WV,Grant,W7,Onshore Wind Turbine,103,0,103,103,0,0,0,0,,
77,17650,Southern Power Co,62482,Beech Ridge II Wind Energy Center,WV,Greenbrier,W8,Onshore Wind Turbine,56.2,0,56.2,56.2,2.8,0,0,0,,
78,64068,"Black Rock Wind Force, LLC",64433,Black Rock Wind,WV,Mineral,W9,Onshore Wind Turbine,115,0,115,115,0.7,0,0,0,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,